"PC","Variance"
981,4.38266152236517e-05
982,4.36293063123905e-05
983,4.35672414679261e-05
984,4.32825766739426e-05
985,4.32333010008742e-05
986,4.29384530033507e-05
987,4.27981842659077e-05
988,4.2685443471658e-05
989,4.2488991651146e-05
990,4.23347429176126e-05
991,4.22212296578624e-05
992,4.21257975892935e-05
993,4.19925006702548e-05
994,4.17920248867057e-05
995,4.16899880334436e-05
996,4.15616386565851e-05
997,4.14727360475121e-05
998,4.12153640209788e-05
999,4.11775285822193e-05
1000,4.09046602520506e-05
1001,4.08815378753004e-05
1002,4.06501206809803e-05
1003,4.05390060187734e-05
1004,4.03353464610906e-05
1005,4.0276489849519e-05
1006,4.00666193234924e-05
1007,3.98094854215374e-05
1008,3.97274284906315e-05
1009,3.95065573019021e-05
1010,3.94303085203715e-05
1011,3.92127741036485e-05
1012,3.90580759200389e-05
1013,3.88138416209943e-05
1014,3.87081785700587e-05
1015,3.85448145209803e-05
1016,3.84657419828676e-05
1017,3.83566774744625e-05
1018,3.81434660138467e-05
1019,3.79711470108674e-05
1020,3.78056362743561e-05
1021,3.76739715121563e-05
1022,3.76541757753965e-05
1023,3.74701582540148e-05
1024,3.74059418667931e-05
1025,3.73460711872244e-05
1026,3.71901180712221e-05
1027,3.71200476417045e-05
1028,3.69902316078921e-05
1029,3.67367824918666e-05
1030,3.66192355725439e-05
1031,3.63535017724313e-05
1032,3.62897015584887e-05
1033,3.59877167809969e-05
1034,3.59474636448171e-05
1035,3.59384999291072e-05
1036,3.58278451494256e-05
1037,3.56010582923537e-05
1038,3.55437663254002e-05
1039,3.54484703772408e-05
1040,3.5189703763928e-05
1041,3.50910952041227e-05
1042,3.50562388992586e-05
1043,3.50184582415407e-05
1044,3.47420646911336e-05
1045,3.46277789221302e-05
1046,3.45100311757858e-05
1047,3.43981714115514e-05
1048,3.42604440336881e-05
1049,3.41522432328463e-05
1050,3.39753723634281e-05
1051,3.3780990031334e-05
1052,3.36577564123256e-05
1053,3.35567707254574e-05
1054,3.34016800624968e-05
1055,3.33632523731041e-05
1056,3.3305881055192e-05
1057,3.31124836020615e-05
1058,3.3066867551089e-05
1059,3.29665780739828e-05
1060,3.2868264195981e-05
1061,3.28132232255416e-05
1062,3.26633622727429e-05
1063,3.24471633973951e-05
1064,3.22837030409841e-05
1065,3.22308839526804e-05
1066,3.20652205682256e-05
1067,3.19349469806845e-05
1068,3.17945059014412e-05
1069,3.17216775452401e-05
1070,3.1659928278512e-05
1071,3.16491541335262e-05
1072,3.14178162429665e-05
1073,3.13581488505907e-05
1074,3.12195278806878e-05
1075,3.10514905395377e-05
1076,3.09447979631956e-05
1077,3.08624667560894e-05
1078,3.08321802785781e-05
1079,3.07289808913585e-05
1080,3.04674358813547e-05
1081,3.03859258423062e-05
1082,3.03010633197196e-05
1083,3.0085068442724e-05
1084,2.99964100556428e-05
1085,2.99621961315099e-05
