"PC1","PC2","PC3","System","Type"
-57.4357750263561,-309.30068098805,-173.163625490047,"APO","APO"
-58.852709121917,-300.189121659627,-169.269883681438,"APO","APO"
-52.1864174931463,26.0832330742798,72.4169314541836,"AZD5305","Unknown"
-72.9755839594832,37.0509798911814,80.7378461158274,"AZD5305","Unknown"
-60.8539217234229,35.5756664677072,70.4736570773817,"AZD5305","Unknown"
-60.1878938597056,40.5710896563113,54.7257707773777,"AZD5305","Unknown"
-71.3803752614649,43.3029012629087,32.6544130018185,"AZD5305","Unknown"
-71.8937088324747,48.9072601217618,41.7225168840365,"AZD5305","Unknown"
-69.6921599065893,51.8876941631835,41.4738168283557,"AZD5305","Unknown"
-82.0802437025173,47.5461759815256,27.2434417286977,"AZD5305","Unknown"
-91.4185957862904,57.148910062326,25.2133762706238,"AZD5305","Unknown"
-94.4347990580934,61.1725467277587,42.0954810280704,"AZD5305","Unknown"
-91.7425285003834,39.3815999459457,44.6746497289076,"AZD5305","Unknown"
-89.9700842018501,44.0543450504948,46.7077318817166,"AZD5305","Unknown"
-89.4838891667967,59.4167253276224,47.6809191965507,"AZD5305","Unknown"
-98.4804256366729,53.743073754133,34.6419706610658,"AZD5305","Unknown"
-118.44623684,40.0232968508919,34.1295001134842,"AZD5305","Unknown"
-128.106759664973,48.5471434230289,28.4048203572928,"AZD5305","Unknown"
-132.32020016822,58.9763449661137,33.8303119126645,"AZD5305","Unknown"
-120.327411783493,68.1345597053427,41.4081708568406,"AZD5305","Unknown"
-131.193410497836,85.4325779728595,51.5402890719105,"AZD5305","Unknown"
-133.851609592334,79.7685403849613,58.987035799903,"AZD5305","Unknown"
-150.298485990634,76.6464818977636,56.8367648140633,"AZD5305","Unknown"
-162.915473534212,80.0194295395729,53.1564753043376,"AZD5305","Unknown"
-178.572681680287,88.1374191568796,60.3999895237096,"AZD5305","Unknown"
-188.682283009506,104.058196616602,61.0661199325759,"AZD5305","Unknown"
-196.334859054828,100.031663399105,58.9160749172149,"AZD5305","Unknown"
-208.512801755065,75.6273368698507,73.7519657318802,"AZD5305","Unknown"
-206.211859576073,69.012698275221,71.991748212145,"AZD5305","Unknown"
-203.331047530957,74.5103689254472,79.0357651467354,"AZD5305","Unknown"
-204.097874716904,83.7917923318329,67.2341528284303,"AZD5305","Unknown"
-217.445144700839,86.7233114280443,72.124840699394,"AZD5305","Unknown"
-208.966044151981,93.5961592595758,65.4183502577927,"AZD5305","Unknown"
-191.849170419944,101.37567735832,72.7921326340219,"AZD5305","Unknown"
-215.346899988368,95.3224203416639,84.1833923252264,"AZD5305","Unknown"
-218.236695587045,92.533638855176,52.3074034366943,"AZD5305","Unknown"
-223.700144417121,95.8868196218267,65.7231401064399,"AZD5305","Unknown"
-236.440197688212,91.2808026618925,59.6024957197771,"AZD5305","Unknown"
-240.163616995228,78.678209967277,58.2071265372418,"AZD5305","Unknown"
-238.212987084444,73.0673804731562,51.8547132753016,"AZD5305","Unknown"
-257.513534852912,64.1437244879832,45.6465650594377,"AZD5305","Unknown"
-257.591632959716,48.0969055221038,36.3658456317174,"AZD5305","Unknown"
-255.10701816142,48.8951598596683,44.2870557681376,"AZD5305","Unknown"
-252.846230089256,38.6063650844489,45.9488130933476,"AZD5305","Unknown"
-256.396177574498,36.4549980558226,48.4400865149266,"AZD5305","Unknown"
-272.097680304767,43.1552088715602,25.8247438184114,"AZD5305","Unknown"
-279.880794987507,54.8336734533806,14.2897241223137,"AZD5305","Unknown"
-292.427840524573,65.2578315055972,1.68002994733625,"AZD5305","Unknown"
-287.955717782329,65.3517393255133,6.02765645045673,"AZD5305","Unknown"
-309.239981020657,57.1529193461016,0.14656151763848,"AZD5305","Unknown"
-340.684556570129,67.1896989971101,18.8736826622283,"AZD5305","Unknown"
-350.578278531176,69.4913785534996,20.1135050205072,"AZD5305","Unknown"
-367.444959935286,62.3402901901263,13.6043658763738,"AZD5305","Unknown"
-360.671551755126,70.965161265155,7.61459849617399,"AZD5305","Unknown"
